id,domains,phase,service,title,url,silver_page,priority,status,doc_title,attempts,err,raw_path,md_path,bytes_html,bytes_md,fetched_at
FND-05,D1,1,Well-Architected,Well-Architected - Security pillar,https://docs.aws.amazon.com/wellarchitected/latest/framework/security.html,well-architected.html,2,ok,Security - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-05.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-05.md,10105,1262,2026-09-11T03:20:34
FND-06,D2,1,Well-Architected,Well-Architected - Reliability pillar,https://docs.aws.amazon.com/wellarchitected/latest/framework/reliability.html,well-architected.html,2,ok,Reliability - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-06.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-06.md,10312,1457,2026-09-11T03:20:41
FND-07,D3,1,Well-Architected,Well-Architected - Performance Efficiency pillar,https://docs.aws.amazon.com/wellarchitected/latest/framework/performance-efficiency.html,well-architected.html,2,ok,Performance efficiency - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-07.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-07.md,10259,1384,2026-09-11T03:20:46
FND-08,D4,1,Well-Architected,Well-Architected - Cost Optimization pillar,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost-optimization.html,well-architected.html,2,ok,Cost optimization - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-08.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-08.md,10186,1278,2026-09-11T03:20:50
FND-09,D2,1,Well-Architected,Well-Architected - Operational Excellence pillar,https://docs.aws.amazon.com/wellarchitected/latest/framework/operational-excellence.html,well-architected.html,3,ok,Operational excellence - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-09.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-09.md,10436,1504,2026-09-11T03:20:56
FND-10,D3,1,Well-Architected,Well-Architected - Sustainability pillar,https://docs.aws.amazon.com/wellarchitected/latest/framework/sustainability-pillar.html,well-architected.html,3,ok,AWS Well-Architected Framework - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-10.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-10.md,17858,4162,2026-09-11T03:21:06
FND-11,D1,1,IAM,"IAM User Guide - Introduction (users, groups, roles, policies)",https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html,iam.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-11.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-11.md,19342,3252,previo
FND-12,D1,1,IAM,"IAM - Security best practices (least privilege, MFA, root user)",https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,iam.html,1,ok,Security best practices in IAM,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-12.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-12.md,65954,22055,2026-09-11T03:21:14
FND-13,D1,1,IAM,"IAM - Roles (role switching, cross-account access, STS)",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html,iam.html,1,ok,AWS Identity and Access Management,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-13.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-13.md,43351,2872,2026-09-11T03:21:21
FND-14,D1,1,IAM,IAM - Policies and permissions (identity vs resource policies),https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html,iam.html,1,ok,Policies and permissions in AWS Identity and Access Management,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-14.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-14.md,97300,16636,2026-09-11T03:21:27
FND-15,D1,1,AWS STS,AWS Security Token Service - API reference (welcome),https://docs.aws.amazon.com/STS/latest/APIReference/welcome.html,iam.html,2,ok,Welcome - AWS Security Token Service,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-15.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-15.md,11895,601,2026-09-11T03:21:34
FND-16,D1,1,IAM Identity Center,AWS IAM Identity Center (AWS SSO) - What is,https://docs.aws.amazon.com/singlesignon/latest/userguide/what-is.html,iam.html,2,ok,What is IAM Identity Center?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-16.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-16.md,27066,7382,2026-09-11T03:21:46
FND-17,"D1,D4",1,AWS Organizations,AWS Organizations - Introduction (multi-account),https://docs.aws.amazon.com/organizations/latest/userguide/orgs_introduction.html,organizaciones.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-17.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-17.md,28601,1258,previo
FND-18,D1,1,AWS Organizations,AWS Organizations - Service control policies (SCPs),https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html,organizaciones.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-18.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-18.md,38837,2349,previo
FND-19,D1,1,AWS Control Tower,AWS Control Tower - What is (multi-account governance),https://docs.aws.amazon.com/controltower/latest/userguide/what-is-control-tower.html,organizaciones.html,2,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-19.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-19.md,24481,7866,previo
NET-01,"D1,D2,D3",2,Amazon VPC,Amazon VPC - What is Amazon VPC,https://docs.aws.amazon.com/vpc/latest/userguide/what-is-amazon-vpc.html,vpc.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-01.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-01.md,36470,1283,previo
NET-02,"D1,D3",2,Amazon VPC,"VPC - Subnets (public vs private, CIDR)",https://docs.aws.amazon.com/vpc/latest/userguide/configure-subnets.html,vpc.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-02.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-02.md,28591,4187,previo
NET-03,"D2,D3,D4",2,Amazon VPC,VPC - Route tables,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html,vpc.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-03.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-03.md,13330,2643,previo
NET-04,D1,2,Amazon VPC,"VPC - Security groups (stateful, instance level)",https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html,seguridad-red.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-04.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-04.md,28068,1906,previo
NET-05,D1,2,Amazon VPC,"VPC - Network ACLs (stateless, subnet level)",https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html,seguridad-red.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-05.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-05.md,22510,1548,previo
NET-06,"D1,D4",2,Amazon VPC,VPC - NAT gateways vs NAT instances,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat-gateway.html,seguridad-red.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-06.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-06.md,15661,4486,previo
NET-07,"D3,D4",2,Amazon VPC,VPC - VPC peering,https://docs.aws.amazon.com/vpc/latest/peering/what-is-vpc-peering.html,conectividad.html,2,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-07.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-07.md,16328,1073,previo
NET-08,"D3,D4",2,AWS Transit Gateway,AWS Transit Gateway - What is (hub-and-spoke),https://docs.aws.amazon.com/vpc/latest/tgw/what-is-transit-gateway.html,conectividad.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-08.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-08.md,27670,6116,previo
NET-09,"D3,D4",2,AWS PrivateLink,"AWS PrivateLink - Concepts (VPC endpoints, interface/gateway)",https://docs.aws.amazon.com/vpc/latest/privatelink/concepts.html,conectividad.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-09.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-09.md,36941,1775,previo
NET-10,"D1,D3,D4",2,AWS Direct Connect,AWS Direct Connect - Welcome (dedicated connections),https://docs.aws.amazon.com/directconnect/latest/UserGuide/Welcome.html,conectividad.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-10.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-10.md,32825,1559,previo
NET-11,"D1,D2,D4",2,AWS VPN,AWS Site-to-Site VPN - What is,https://docs.aws.amazon.com/vpn/latest/s2svpn/VPC_VPN.html,conectividad.html,1,ok,What is AWS Site-to-Site VPN?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-11.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-11.md,34856,7695,2026-09-11T03:22:10
NET-12,"D2,D3",2,Amazon Route 53,Amazon Route 53 - Developer Guide (Welcome),https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/Welcome.html,route53.html,1,ok,What is Amazon Route 53?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-12.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-12.md,14653,4900,2026-09-11T03:22:17
NET-13,D2,2,Amazon Route 53,"Route 53 - Routing policies (failover, latency, geolocation, weighted)",https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/routing-policy.html,route53.html,1,ok,Choosing a routing policy - Amazon Route 53,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-13.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-13.md,12419,3055,2026-09-11T03:22:24
NET-14,"D2,D3,D4",2,Amazon CloudFront,"Amazon CloudFront - Introduction (CDN, edge locations)",https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/Introduction.html,cloudfront.html,1,ok,What is Amazon CloudFront? - Amazon CloudFront,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-14.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-14.md,32783,3580,2026-09-11T03:22:30
NET-15,"D3,D4",2,AWS Global Accelerator,AWS Global Accelerator - What is (static anycast IPs),https://docs.aws.amazon.com/global-accelerator/latest/dg/what-is-global-accelerator.html,cloudfront.html,1,ok,What is AWS Global Accelerator?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-15.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-15.md,15053,1807,2026-09-11T03:22:39
NET-16,"D2,D3,D4",2,Elastic Load Balancing,Elastic Load Balancing - What is load balancing (types overview),https://docs.aws.amazon.com/elasticloadbalancing/latest/userguide/what-is-load-balancing.html,elb.html,1,ok,What is Elastic Load Balancing?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-16.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-16.md,32081,7689,2026-09-11T03:22:44
NET-17,"D2,D3",2,Elastic Load Balancing,Application Load Balancer - Introduction (Layer 7),https://docs.aws.amazon.com/elasticloadbalancing/latest/application/introduction.html,elb.html,1,ok,What is an Application Load Balancer?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-17.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-17.md,36962,3281,2026-09-11T03:22:48
NET-18,"D3,D4",2,Elastic Load Balancing,Network Load Balancer - Introduction (Layer 4),https://docs.aws.amazon.com/elasticloadbalancing/latest/network/introduction.html,elb.html,1,ok,What is a Network Load Balancer?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-18.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-18.md,32621,9518,2026-09-11T03:22:53
NET-19,"D3,D4",2,Elastic Load Balancing,"Gateway Load Balancer - Introduction (Layer 3, appliances)",https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/introduction.html,elb.html,2,ok,What is a Gateway Load Balancer?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-19.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-19.md,23959,5059,2026-09-11T03:22:58
NET-20,"D2,D3",2,Amazon API Gateway,Amazon API Gateway - Developer Guide (Welcome),https://docs.aws.amazon.com/apigateway/latest/developerguide/welcome.html,apigateway.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/2-redes-y-conectividad/NET-20.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/2-redes-y-conectividad/NET-20.md,39233,3328,previo
CMP-01,"D3,D4",3,Amazon EC2,"Amazon EC2 - Concepts (instances, AMIs)",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html,ec2.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-01.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-01.md,49499,1685,previo
CMP-02,"D3,D4",3,Amazon EC2,"EC2 - Instance types (families: general, compute, memory, storage, accelerated)",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-types.html,ec2.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-02.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-02.md,46465,14770,previo
CMP-03,D4,3,Amazon EC2,"EC2 - Purchase options overview (On-Demand, RI, Spot, Savings)",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-purchase-options.html,ec2.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-03.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-03.md,49507,1693,previo
CMP-04,D4,3,Amazon EC2,"EC2 - Spot Instances (interruptions, Spot Fleets)",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html,ec2.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-04.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-04.md,27950,7459,previo
CMP-05,D4,3,Amazon EC2,EC2 - Reserved Instances (Standard vs Convertible),https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/reserved-instances.html,ec2.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-05.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-05.md,47544,1428,previo
CMP-06,D4,3,Savings Plans,AWS Savings Plans - What is (Compute vs EC2 Instance SP),https://docs.aws.amazon.com/savingsplans/latest/userguide/what-is-savings-plans.html,ec2.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-06.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-06.md,10774,2491,previo
CMP-07,D3,3,Amazon EC2,"EC2 - Placement groups (cluster, spread, partition)",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/placement-groups.html,ec2.html,1,ok,Placement groups for your Amazon EC2 instances,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-07.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-07.md,15305,3698,2026-09-11T03:23:16
CMP-08,D4,3,Amazon EC2,"EC2 - Hibernation (RAM persistence, cost saving)",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Hibernate.html,ec2.html,2,ok,Hibernate your Amazon EC2 instance,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-08.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-08.md,14080,3078,2026-09-11T03:23:21
CMP-09,D2,3,Amazon EC2,"EC2 - AMIs (golden images, regions sharing)",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AMIs.html,ec2.html,2,ok,Amazon Machine Images in Amazon EC2,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-09.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-09.md,15102,1497,2026-09-11T03:23:28
CMP-10,"D3,D4",3,Amazon EBS,Amazon EBS - What is (block storage for EC2),https://docs.aws.amazon.com/ebs/latest/userguide/what-is-ebs.html,ebs.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-10.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-10.md,28334,7607,previo
CMP-11,"D3,D4",3,Amazon EBS,"EBS - Volume types (gp3, gp2, io1/io2, st1, sc1)",https://docs.aws.amazon.com/ebs/latest/userguide/ebs-volume-types.html,ebs.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-11.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-11.md,32546,694,previo
CMP-12,"D2,D4",3,Amazon EBS,"EBS - Snapshots (incremental, cross-region, archives)",https://docs.aws.amazon.com/ebs/latest/userguide/ebs-snapshots.html,ebs.html,1,ok,Amazon EBS snapshots - Amazon EBS,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-12.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-12.md,13946,688,2026-09-11T03:23:34
CMP-13,"D2,D3",3,EC2 Auto Scaling,"EC2 Auto Scaling - Auto Scaling groups (health checks, AZs)",https://docs.aws.amazon.com/autoscaling/ec2/userguide/AutoScalingGroup.html,auto-scaling.html,1,ok,Auto Scaling groups - Amazon EC2 Auto Scaling,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-13.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-13.md,15855,384,2026-09-11T03:23:40
CMP-14,D3,3,EC2 Auto Scaling,EC2 Auto Scaling - Target tracking scaling policies,https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-scaling-target-tracking.html,auto-scaling.html,1,ok,Target tracking scaling policies for Amazon EC2 Auto Scaling,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-14.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-14.md,42610,5022,2026-09-11T03:23:46
CMP-15,"D2,D3,D4",3,AWS Lambda,AWS Lambda - Developer Guide (Welcome),https://docs.aws.amazon.com/lambda/latest/dg/welcome.html,lambda.html,1,ok,What is AWS Lambda? - AWS Lambda,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-15.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-15.md,20896,4488,2026-09-11T03:23:49
CMP-16,D3,3,AWS Lambda,"Lambda - Function configuration (memory, timeouts)",https://docs.aws.amazon.com/lambda/latest/dg/configuration-memory.html,lambda.html,2,ok,Configure Lambda function memory - AWS Lambda,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-16.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-16.md,37994,5901,2026-09-11T03:23:55
CMP-17,"D2,D3",3,Amazon ECS,Amazon ECS - Developer Guide (Welcome),https://docs.aws.amazon.com/AmazonECS/latest/developerguide/Welcome.html,contenedores.html,1,ok,What is Amazon Elastic Container Service?,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-17.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-17.md,37077,741,2026-09-11T03:24:01
CMP-18,"D2,D3",3,Amazon EKS,Amazon EKS - What is (managed Kubernetes),https://docs.aws.amazon.com/eks/latest/userguide/what-is-eks.html,contenedores.html,1,ok,What is Amazon EKS? - Amazon EKS,2,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-18.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-18.md,47686,789,2026-09-11T03:30:26
CMP-19,"D2,D3,D4",3,AWS Fargate,AWS Fargate - Serverless compute for containers,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/AWS_Fargate.html,contenedores.html,1,ok,Architect for AWS Fargate for Amazon ECS,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/3-computo/CMP-19.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/3-computo/CMP-19.md,33732,7474,2026-09-11T03:30:32
